ID;RUN;Nombre;Apellidos;Dirección;"Correo Electrónico";Teléfono;tipo;titular;rol;profesión;especialidad;firma;"institucion previsional de salud";
691;943569-7;Laura;"Fuentes López";"Av. Macul 7828";laura.fuentes@mailficticio.cl;984357071;beneficiario;300587-9;Paciente;;;"sin firma";"Medibanc S.A.";
692;605731-4;Javier;"Araya Morales";"Av. Providencia 9195";javier.araya@correoexample.com;994970769;beneficiario;115752-3;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
693;765868-0;Laura;"Sepúlveda Rojas";"Av. Providencia 9154";laura.sepulveda@mailficticio.cl;973305126;beneficiario;423987-3;Paciente;;;"sin firma";"Vida uno S.A.";
694;796799-3;Pedro;"Sepúlveda Espinoza";"Av. Independencia 8261";pedro.sepulveda@correoexample.com;954942735;titular;796799-3;Paciente;;;"sin firma";FONASA;
695;201791-1;Antonio;Fuentes;"Av. Matta 620";antonio.fuentes@dominiofake.net;961384801;titular;201791-1;Paciente;;;"sin firma";FONASA;
696;811683-0;Luis;"Soto Morales";"Av. Grecia 1192";luis.soto@dominiofake.net;989563230;beneficiario;869056-1;Paciente;;;"sin firma";"Salud Ltda.";
697;379228-5;Carmen;Muñoz;"Av. Libertador Bernardo O'Higgins 4705";carmen.munoz@dominiofake.net;928436852;beneficiario;628964-9;Paciente;;;"sin firma";"Cruz de Malta S.A.";
698;367043-0;"Javier Marta";"Soto Sepúlveda";"Av. Independencia 9753";javier.soto@mailficticio.cl;961511586;beneficiario;302345-1;Paciente;;;"sin firma";"Fundación e imperio";
699;314948-K;Daniel;"Morales Flores";"Av. Los Leones 9704";daniel.morales@mailficticio.cl;914615980;titular;314948-K;Administrativo;;;"sin firma";"especial S.A.";
700;508277-3;"Antonio Paula";Flores;"Av. Los Leones 3872";antonio.flores@dominiofake.net;997141800;beneficiario;230291-8;Paciente;;;"sin firma";"Fundación e imperio";
701;540359-6;Laura;Martínez;"Av. Recoleta 6122";laura.martinez@prueba.org;991602805;titular;540359-6;"Staff Médico";Enfermero/a;;"sin firma";"especial S.A.";
702;809757-7;"Antonio Isabel";"Muñoz Valenzuela";"Av. Los Leones 95";antonio.munoz@correoexample.com;928402499;titular;809757-7;Paciente;;;"sin firma";"Fundación e imperio";
703;631608-5;"Francisco Laura";Silva;"Av. Vicuña Mackenna 341";francisco.silva@correoexample.com;948892893;beneficiario;548939-3;Paciente;;;"sin firma";"Fundación e imperio";
704;814913-5;"Daniel Daniel";"Martínez Soto";"Av. Grecia 5958";daniel.martinez@prueba.org;914332615;titular;814913-5;Paciente;;;"sin firma";"sinsalud S.A.";
705;844303-3;Isabel;"Torres Díaz";"Av. Recoleta 10383";isabel.torres@prueba.org;996048298;beneficiario;217029-9;Paciente;;;"sin firma";"sinsalud S.A.";
706;961876-7;Sofía;Torres;"Av. Tobalaba 8365";sofia.torres@dominiofake.net;971040059;beneficiario;967798-4;Paciente;;;"sin firma";"especial S.A.";
707;923386-5;"Miguel Paula";"González Torres";"Av. Apoquindo 11705";miguel.gonzalez@mailficticio.cl;985456637;beneficiario;370616-8;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
708;169308-5;Javier;"Flores Pérez";"Av. Apoquindo 3898";javier.flores@mailficticio.cl;982507050;beneficiario;874934-5;Paciente;;;"sin firma";"Salud Ltda.";
709;327936-7;Diego;"Morales Araya";"Av. Pajaritos 4562";diego.morales@correoexample.com;945000364;titular;327936-7;Administrativo;;;"sin firma";"sinsalud S.A.";
710;770730-4;Juan;"González López";"Av. Pajaritos 3415";juan.gonzalez@mailficticio.cl;959359001;beneficiario;420268-6;Paciente;;;"sin firma";"Medibanc S.A.";
711;465081-6;María;"Silva Torres";"Av. Macul 2320";maria.silva@correoexample.com;906990474;titular;465081-6;Paciente;;;"sin firma";FONASA;
712;873425-9;"Luis Marta";"Rojas López";"Av. Irarrazabal 6166";luis.rojas@dominiofake.net;981242010;titular;873425-9;Paciente;;;"sin firma";"sinsalud S.A.";
713;929240-3;José;"Contreras Sepúlveda";"Av. Libertador Bernardo O'Higgins 5";jose.contreras@prueba.org;974698209;beneficiario;881609-3;Paciente;;;"sin firma";"Vida uno S.A.";
714;445176-7;Paula;Hernández;"Av. Tobalaba 11276";paula.hernandez@prueba.org;905195370;titular;445176-7;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
715;839606-K;"Francisco Carmen";"Rodríguez Díaz";"Av. Vicuña Mackenna 9447";francisco.rodriguez@mailficticio.cl;979511493;titular;839606-K;"Staff Médico";Enfermero/a;;"sin firma";"Salud Ltda.";
716;515412-K;"Javier Ana";Rojas;"Av. Providencia 11888";javier.rojas@correoexample.com;901002443;titular;515412-K;Administrativo;;;"sin firma";"Colmena de avispas S.A.";
717;873980-3;Miguel;"Araya Rojas";"Av. Manuel Montt 9413";miguel.araya@prueba.org;944063514;beneficiario;638649-0;Paciente;;;"sin firma";"Salud Ltda.";
718;879238-0;"Pedro María";"Rojas Espinoza";"Av. Libertador Bernardo O'Higgins 3676";pedro.rojas@prueba.org;967088325;beneficiario;483953-6;Paciente;;;"sin firma";"Fundación e imperio";
719;383513-8;María;"Martínez Morales";"Av. Pajaritos 422";maria.martinez@prueba.org;962453401;beneficiario;336590-5;Paciente;;;"sin firma";"Cruz de Malta S.A.";
720;971488-K;Sofía;"Sepúlveda Araya";"Av. Manuel Montt 6290";sofia.sepulveda@prueba.org;941656105;beneficiario;545852-8;Paciente;;;"sin firma";"Menos vida S.A.";
721;606421-3;"Sin Nombre";"Fuentes Fuentes";"Av. Manuel Montt 10140";lucia.fuentes@prueba.org;989354093;titular;606421-3;"Staff Médico";Enfermero/a;;"sin firma";"Vida uno S.A.";
722;524956-2;Marta;"Soto Soto";"Av. Tobalaba 3892";marta.soto@mailficticio.cl;925524862;beneficiario;938320-4;Paciente;;;"sin firma";"Colmena de avispas S.A.";
723;488086-2;"Ana Andrés";"Rodríguez López";"Av. Apoquindo 6915";ana.rodriguez@dominiofake.net;908971891;beneficiario;697907-6;Paciente;;;"sin firma";FONASA;
724;707969-9;"Sofía Antonio";"Araya Silva";"Av. Irarrazabal 9965";sofia.araya@correoexample.com;944353871;beneficiario;606421-3;Paciente;;;"sin firma";"Vida uno S.A.";
725;793347-9;"Luis Francisco";"Rodríguez Valenzuela";"Av. Vicuña Mackenna 4936";luis.rodriguez@correoexample.com;919937140;beneficiario;962347-7;Paciente;;;"sin firma";FONASA;
726;364397-2;Antonio;Rodríguez;"Av. Recoleta 3948";antonio.rodriguez@dominiofake.net;920302560;titular;364397-2;Administrativo;;;"sin firma";"Salud Ltda.";
727;669091-2;Laura;"Martínez Hernández";"Av. Vicuña Mackenna 2498";laura.martinez@prueba.org;933067663;beneficiario;570656-4;Paciente;;;"sin firma";"Menos vida S.A.";
728;322823-1;Isabel;Contreras;"Av. Matta 7756";isabel.contreras@mailficticio.cl;919744141;titular;322823-1;Paciente;;;./firma/728;"Salud Ltda.";
729;281685-7;Andrés;"Torres Fuentes";"Av. Vicuña Mackenna 5865";andres.torres@prueba.org;939068685;titular;281685-7;Administrativo;;;"sin firma";"Menos vida S.A.";
730;649425-0;"Andrés Lucía";"Valenzuela Hernández";"Av. Tobalaba 3690";andres.valenzuela@mailficticio.cl;936933974;beneficiario;323754-0;Paciente;;;"sin firma";"especial S.A.";
731;484760-1;Pedro;López;"Av. Pajaritos 8651";pedro.lopez@dominiofake.net;955040884;beneficiario;831653-8;Paciente;;;"sin firma";"Fundación e imperio";
732;453376-3;"Sofía Luis";"Valenzuela Hernández";"Av. Matta 6006";sofia.valenzuela@dominiofake.net;966610409;titular;453376-3;Paciente;;;"sin firma";"Cruz de Malta S.A.";
733;694977-0;"Luis Miguel";"Martínez Morales";"Av. Providencia 10772";luis.martinez@correoexample.com;991785689;titular;694977-0;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
734;681911-7;Javier;"Martínez Espinoza";"Av. Apoquindo 8964";javier.martinez@correoexample.com;951167633;titular;681911-7;Paciente;;;"sin firma";"Menos vida S.A.";
735;519701-5;Juan;Hernández;"Av. Macul 1713";juan.hernandez@correoexample.com;991956582;beneficiario;515412-K;Paciente;;;"sin firma";"Colmena de avispas S.A.";
736;894152-1;Luis;"Espinoza Sepúlveda";"Av. Manuel Montt 6280";luis.espinoza@mailficticio.cl;937672232;beneficiario;101362-9;Paciente;;;"sin firma";"sinsalud S.A.";
737;895354-6;Lucía;Hernández;"Av. La Florida 2062";lucia.hernandez@dominiofake.net;945270280;beneficiario;685785-K;Paciente;;;"sin firma";FONASA;
738;303759-2;Laura;"Fuentes González";"Av. Macul 8814";laura.fuentes@prueba.org;967650908;beneficiario;866572-9;Paciente;;;"sin firma";"Cruz de Malta S.A.";
739;908825-3;Javier;"Martínez Rojas";"Av. La Florida 2372";javier.martinez@correoexample.com;948529599;beneficiario;114927-K;Paciente;;;"sin firma";"Vida uno S.A.";
740;355893-2;Miguel;"Valenzuela Rodríguez";"Av. Vicuña Mackenna 2809";miguel.valenzuela@correoexample.com;950052669;titular;355893-2;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
741;659214-7;Ana;"Soto Pérez";"Av. Matta 5253";ana.soto@correoexample.com;950462159;titular;659214-7;Paciente;;;"sin firma";"sinsalud S.A.";
742;913503-0;Antonio;"Díaz Valenzuela";"Av. Apoquindo 6331";antonio.diaz@prueba.org;958724260;beneficiario;172329-4;Paciente;;;"sin firma";"especial S.A.";
743;426709-5;Javier;"Sepúlveda Araya";"Av. Grecia 3372";javier.sepulveda@dominiofake.net;922441676;beneficiario;714492-K;Paciente;;;"sin firma";"sinsalud S.A.";
744;888175-8;"María Andrés";Espinoza;"Av. Apoquindo 7720";maria.espinoza@correoexample.com;979811829;titular;888175-8;"Staff Médico";Enfermero/a;;"sin firma";"Salud Ltda.";
745;663356-0;Javier;Flores;"Av. Libertador Bernardo O'Higgins 3769";javier.flores@correoexample.com;921668412;beneficiario;477098-6;Paciente;;;"sin firma";"Fundación e imperio";
746;983358-7;Luis;"Silva Pérez";"Av. Tobalaba 524";luis.silva@dominiofake.net;941020836;titular;983358-7;Paciente;;;"sin firma";FONASA;
747;553798-3;Andrés;Silva;"Av. Pajaritos 3179";andres.silva@prueba.org;916190814;titular;553798-3;Administrativo;;;"sin firma";"sinsalud S.A.";
748;496199-4;María;"González Muñoz";"Av. La Florida 1515";maria.gonzalez@correoexample.com;980738078;beneficiario;973672-7;Paciente;;;"sin firma";"especial S.A.";
749;938316-6;"Luis Antonio";López;"Av. Recoleta 10971";luis.lopez@dominiofake.net;933367599;beneficiario;269927-3;Paciente;;;"sin firma";FONASA;
750;942684-1;Diego;"Rodríguez Pérez";"Av. La Florida 4784";diego.rodriguez@mailficticio.cl;901548625;beneficiario;837678-6;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
751;246326-1;"Lucía Luis";"Hernández Soto";"Av. Los Leones 2809";lucia.hernandez@prueba.org;970484077;beneficiario;298002-9;Paciente;;;"sin firma";"Menos vida S.A.";
752;304349-5;Luis;Soto;"Av. Apoquindo 902";luis.soto@correoexample.com;918372038;beneficiario;551232-8;Paciente;;;"sin firma";"Fundación e imperio";
753;509813-0;Antonio;"Flores Muñoz";"Av. Los Leones 322";antonio.flores@dominiofake.net;916976253;beneficiario;782965-5;Paciente;;;"sin firma";"Colmena de avispas S.A.";
754;724905-5;Carmen;"Sepúlveda Fuentes";"Av. Tobalaba 11526";carmen.sepulveda@prueba.org;937378192;titular;724905-5;Administrativo;;;"sin firma";"Medibanc S.A.";
755;842141-2;Francisco;"Díaz Sepúlveda";"Av. Grecia 7463";francisco.diaz@dominiofake.net;912013285;titular;842141-2;Paciente;;;"sin firma";"especial S.A.";
756;937061-7;Francisco;"González Valenzuela";"Av. Tobalaba 3979";francisco.gonzalez@prueba.org;974476038;titular;937061-7;Paciente;;;"sin firma";"especial S.A.";
757;332372-2;Laura;"Silva Contreras";"Av. Irarrazabal 11634";laura.silva@mailficticio.cl;974956709;titular;332372-2;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
758;599877-8;José;"Rojas Rojas";"Av. Irarrazabal 3126";jose.rojas@prueba.org;936872978;titular;599877-8;Paciente;;;"sin firma";"Menos vida S.A.";
759;725200-5;Daniel;"Rojas Valenzuela";"Av. Manuel Montt 4664";daniel.rojas@mailficticio.cl;914335995;beneficiario;174699-5;Paciente;;;"sin firma";"Fundación e imperio";
760;689590-5;"Miguel Andrés";"Rodríguez Hernández";"Av. Apoquindo 9752";miguel.rodriguez@dominiofake.net;932318858;beneficiario;694977-0;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
761;108823-8;Antonio;"Martínez Espinoza";"Av. Pajaritos 7427";antonio.martinez@prueba.org;999491023;beneficiario;264451-7;Paciente;;;"sin firma";FONASA;
762;741016-6;María;Flores;"Av. Independencia 3920";maria.flores@dominiofake.net;987838696;beneficiario;833298-3;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
763;933713-K;Lucía;"Soto Morales";"Av. Manuel Montt 4663";lucia.soto@prueba.org;900569318;titular;933713-K;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
764;919145-3;Juan;"Rodríguez Araya";"Av. Apoquindo 7582";juan.rodriguez@correoexample.com;951049031;beneficiario;345196-8;Paciente;;;"sin firma";"Fundación e imperio";
765;351281-9;Daniel;"Soto Hernández";"Av. Tobalaba 6866";daniel.soto@mailficticio.cl;978666523;beneficiario;459532-7;Paciente;;;"sin firma";"Medibanc S.A.";
766;951988-2;Pedro;González;"Av. Vicuña Mackenna 5237";pedro.gonzalez@dominiofake.net;936500601;beneficiario;361222-8;Paciente;;;"sin firma";"especial S.A.";
767;781456-9;Javier;Araya;"Av. Apoquindo 8303";javier.araya@prueba.org;928338099;beneficiario;923241-9;Paciente;;;"sin firma";"Menos vida S.A.";
768;675083-4;Paula;"Rodríguez Contreras";"Av. Macul 562";paula.rodriguez@prueba.org;987698601;titular;675083-4;Paciente;;;"sin firma";FONASA;
769;682499-4;"Antonio Laura";Espinoza;"Av. Pajaritos 3007";antonio.espinoza@mailficticio.cl;927582499;titular;682499-4;Paciente;;;"sin firma";"Medibanc S.A.";
770;580759-K;Lucía;"Martínez Hernández";"Av. Matta 11832";lucia.martinez@mailficticio.cl;965723923;titular;580759-K;Paciente;;;"sin firma";FONASA;
771;523775-0;"Carmen Daniel";"Hernández Valenzuela";"Av. Los Leones 6361";carmen.hernandez@prueba.org;996225004;titular;523775-0;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
772;371728-3;"Andrés Isabel";"Araya Pérez";"Av. Independencia 2858";andres.araya@prueba.org;909185337;beneficiario;263380-9;Paciente;;;"sin firma";"Menos vida S.A.";
773;976960-9;"Juan Lucía";Díaz;"Av. Manuel Montt 605";juan.diaz@prueba.org;981164960;beneficiario;164857-8;Paciente;;;"sin firma";"Medibanc S.A.";
774;102905-3;Ana;"Hernández Soto";"Av. Pajaritos 1060";ana.hernandez@correoexample.com;988519468;beneficiario;996775-3;Paciente;;;"sin firma";"Colmena de avispas S.A.";
775;168944-4;"Andrés Carmen";"Morales Morales";"Av. Providencia 9844";andres.morales@prueba.org;959139688;titular;168944-4;Paciente;;;"sin firma";"Colmena de avispas S.A.";
776;960322-0;Andrés;"Fuentes Espinoza";"Av. Pajaritos 1171";andres.fuentes@correoexample.com;925035138;beneficiario;262351-K;Paciente;;;"sin firma";"Colmena de avispas S.A.";
777;318941-4;Laura;"González Morales";"Av. Los Leones 8608";laura.gonzalez@dominiofake.net;954303709;beneficiario;294229-1;Paciente;;;"sin firma";"Cruz de Malta S.A.";
778;390345-1;Carmen;"López Valenzuela";"Av. Recoleta 10870";carmen.lopez@dominiofake.net;908254598;beneficiario;321706-K;Paciente;;;"sin firma";"Vida uno S.A.";
779;397181-3;Marta;Fuentes;"Av. Apoquindo 6655";marta.fuentes@prueba.org;997065598;beneficiario;194970-5;Paciente;;;"sin firma";"sinsalud S.A.";
780;239716-1;Pedro;"Espinoza Díaz";"Av. Matta 2748";pedro.espinoza@correoexample.com;914530389;titular;239716-1;Paciente;;;"sin firma";"Menos vida S.A.";
781;678989-7;Juan;"Valenzuela Soto";"Av. Tobalaba 10728";juan.valenzuela@mailficticio.cl;998853256;beneficiario;654272-7;Paciente;;;"sin firma";"Colmena de avispas S.A.";
782;874624-9;Juan;Hernández;"Av. Independencia 7807";juan.hernandez@dominiofake.net;987593687;beneficiario;441508-6;Paciente;;;"sin firma";"Colmena de avispas S.A.";
783;961628-4;José;"Flores Espinoza";"Av. Providencia 11925";jose.flores@prueba.org;944532356;titular;961628-4;Paciente;;;"sin firma";"Cruz de Malta S.A.";
784;359458-0;"Andrés Isabel";"Flores Soto";"Av. Pajaritos 3884";andres.flores@correoexample.com;952659158;beneficiario;829521-2;Paciente;;;"sin firma";"Medibanc S.A.";
785;610217-4;Pedro;"López Martínez";"Av. Irarrazabal 5131";pedro.lopez@prueba.org;964297081;beneficiario;448305-7;Paciente;;;"sin firma";"Salud Ltda.";
786;543168-9;"Paula Pedro";"Flores Muñoz";"Av. Pajaritos 11878";paula.flores@prueba.org;967927432;beneficiario;741641-5;Paciente;;;"sin firma";"Medibanc S.A.";
787;499513-9;José;"Sepúlveda Hernández";"Av. La Florida 10395";jose.sepulveda@prueba.org;970818020;beneficiario;574034-7;Paciente;;;"sin firma";"Menos vida S.A.";
788;218944-5;Paula;"Muñoz Martínez";"Av. Manuel Montt 11875";paula.munoz@dominiofake.net;972245985;beneficiario;720877-4;Paciente;;;"sin firma";"sinsalud S.A.";
789;298117-3;"María Diego";"Espinoza Rojas";"Av. Los Leones 273";maria.espinoza@dominiofake.net;919249453;titular;298117-3;Paciente;;;"sin firma";"Colmena de avispas S.A.";
790;961701-9;Daniel;Valenzuela;"Av. Vicuña Mackenna 9712";daniel.valenzuela@correoexample.com;925225502;beneficiario;665079-1;Paciente;;;"sin firma";"Colmena de avispas S.A.";
791;194970-5;Sofía;"López Pérez";"Av. Los Leones 9416";sofia.lopez@prueba.org;916087529;titular;194970-5;Administrativo;;;"sin firma";"sinsalud S.A.";
792;293392-6;Juan;Pérez;"Av. Grecia 1076";juan.perez@prueba.org;940109937;beneficiario;108709-6;Paciente;;;"sin firma";"Vida uno S.A.";
793;694689-5;Francisco;"Contreras Martínez";"Av. Pajaritos 3314";francisco.contreras@correoexample.com;909525155;titular;694689-5;Paciente;;;"sin firma";"Vida uno S.A.";
794;100996-6;"Andrés Pedro";"Soto Hernández";"Av. Pajaritos 9540";andres.soto@prueba.org;996896268;titular;100996-6;Paciente;;;"sin firma";FONASA;
795;825192-4;Javier;"López Muñoz";"Av. Grecia 2140";javier.lopez@dominiofake.net;955862543;beneficiario;660470-6;Paciente;;;"sin firma";"Menos vida S.A.";
796;174069-5;Pedro;López;"Av. Los Leones 9843";pedro.lopez@dominiofake.net;932732431;titular;174069-5;"Staff Médico";Médico;"Psiquiatría Adultos";./firma/796;"Cruz de Malta S.A.";
797;962546-1;Ana;"Hernández Valenzuela";"Av. Manuel Montt 10425";ana.hernandez@mailficticio.cl;958262548;beneficiario;982438-3;Paciente;;;"sin firma";"Menos vida S.A.";
798;441499-3;Diego;"Muñoz Araya";"Av. Libertador Bernardo O'Higgins 6949";diego.munoz@mailficticio.cl;906797726;beneficiario;984178-4;Paciente;;;"sin firma";"Medibanc S.A.";
799;867221-0;Andrés;Soto;"Av. Grecia 1534";andres.soto@correoexample.com;934787691;titular;867221-0;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
800;370786-5;"Lucía Lucía";Araya;"Av. Macul 6724";lucia.araya@mailficticio.cl;987987630;beneficiario;858501-6;Paciente;;;"sin firma";FONASA;
801;680993-6;Isabel;"Espinoza Morales";"Av. La Florida 11088";isabel.espinoza@correoexample.com;986215640;beneficiario;149636-0;Paciente;;;"sin firma";"Menos vida S.A.";
802;779884-9;Luis;"Pérez Flores";"Av. Independencia 4240";luis.perez@prueba.org;944193485;titular;779884-9;Paciente;;;"sin firma";"Fundación e imperio";
803;499550-3;Sofía;Morales;"Av. Recoleta 9515";sofia.morales@prueba.org;999279652;titular;499550-3;"Staff Médico";Tens;;"sin firma";"Vida uno S.A.";
804;172094-5;Laura;"Araya González";"Av. Providencia 805";laura.araya@dominiofake.net;913125203;titular;172094-5;Paciente;;;"sin firma";FONASA;
805;659107-8;"Daniel Sofía";"Martínez Flores";"Av. Vicuña Mackenna 5128";daniel.martinez@dominiofake.net;969379861;beneficiario;886707-0;Paciente;;;"sin firma";"Salud Ltda.";
806;856363-2;Diego;López;"Av. Manuel Montt 2299";diego.lopez@mailficticio.cl;985191185;titular;856363-2;Paciente;;;"sin firma";"especial S.A.";
807;828657-4;Paula;Rojas;"Av. Irarrazabal 8520";paula.rojas@correoexample.com;944717252;titular;828657-4;Paciente;;;"sin firma";"Colmena de avispas S.A.";
808;964172-6;Pedro;"Rodríguez Díaz";"Av. Pajaritos 6390";pedro.rodriguez@mailficticio.cl;932634184;beneficiario;167731-4;Paciente;;;"sin firma";"Fundación e imperio";
809;907423-6;Ana;"Rodríguez González";"Av. Irarrazabal 11507";ana.rodriguez@mailficticio.cl;902109151;titular;907423-6;Paciente;;;"sin firma";FONASA;
810;308838-3;Carmen;Díaz;"Av. Independencia 4461";carmen.diaz@mailficticio.cl;982649812;titular;308838-3;Administrativo;;;"sin firma";"Menos vida S.A.";
811;513289-4;Laura;"Flores Araya";"Av. Pajaritos 11233";laura.flores@mailficticio.cl;908883775;titular;513289-4;Paciente;;;"sin firma";"Vida uno S.A.";
812;862083-0;"Sofía Francisco";"Fuentes López";"Av. Vicuña Mackenna 4444";sofia.fuentes@prueba.org;907478716;beneficiario;176886-7;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
813;469323-K;"Isabel Andrés";Díaz;"Av. Pajaritos 7596";isabel.diaz@dominiofake.net;925018465;titular;469323-K;Paciente;;;"sin firma";FONASA;
814;183019-8;Antonio;"López Hernández";"Av. Providencia 11701";antonio.lopez@correoexample.com;989125435;titular;183019-8;"Staff Médico";Kinesiólogo/a;;"sin firma";FONASA;
815;816636-6;Paula;Valenzuela;"Av. Vicuña Mackenna 10783";paula.valenzuela@dominiofake.net;960974181;beneficiario;717638-4;Paciente;;;"sin firma";"Salud Ltda.";
816;205346-2;Marta;"Silva Espinoza";"Av. Tobalaba 6396";marta.silva@mailficticio.cl;921112673;titular;205346-2;Administrativo;;;"sin firma";FONASA;
817;114927-K;"Javier Daniel";"González Díaz";"Av. Apoquindo 4534";javier.gonzalez@correoexample.com;901499701;titular;114927-K;Administrativo;;;"sin firma";"Vida uno S.A.";
818;220715-K;"Isabel José";"Fuentes Morales";"Av. Apoquindo 3507";isabel.fuentes@correoexample.com;932410182;beneficiario;399607-7;Paciente;;;"sin firma";"especial S.A.";
819;871920-9;Sofía;"Pérez Morales";"Av. Macul 8729";sofia.perez@dominiofake.net;943809116;beneficiario;719353-K;Paciente;;;"sin firma";"Fundación e imperio";
820;467737-4;Sofía;"Fuentes Muñoz";"Av. Providencia 1204";sofia.fuentes@mailficticio.cl;923018052;beneficiario;142896-9;Paciente;;;"sin firma";"Menos vida S.A.";
821;589581-2;Francisco;Silva;"Av. Los Leones 7104";francisco.silva@correoexample.com;950288652;titular;589581-2;Paciente;;;"sin firma";"Cruz de Malta S.A.";
822;354675-6;Javier;"Torres Pérez";"Av. Vicuña Mackenna 5386";javier.torres@prueba.org;927866846;beneficiario;104586-5;Paciente;;;"sin firma";"Colmena de avispas S.A.";
823;546355-6;"Marta Javier";"Rojas Rojas";"Av. Recoleta 969";marta.rojas@prueba.org;998279633;beneficiario;316167-6;Paciente;;;"sin firma";"Colmena de avispas S.A.";
824;379617-5;Carmen;Contreras;"Av. La Florida 10027";carmen.contreras@dominiofake.net;972535649;beneficiario;473356-8;Paciente;;;"sin firma";"Vida uno S.A.";
825;322024-9;"José Laura";"Fuentes Sepúlveda";"Av. Independencia 10679";jose.fuentes@correoexample.com;966374287;beneficiario;361691-6;Paciente;;;"sin firma";"Cruz de Malta S.A.";
826;501782-3;José;"Valenzuela González";"Av. Vicuña Mackenna 7460";jose.valenzuela@correoexample.com;920265715;titular;501782-3;Paciente;;;"sin firma";"Medibanc S.A.";
827;218618-7;Paula;"Martínez Martínez";"Av. Libertador Bernardo O'Higgins 2586";paula.martinez@mailficticio.cl;978445855;titular;218618-7;Paciente;;;"sin firma";"Menos vida S.A.";
828;845786-7;Antonio;"Flores Fuentes";"Av. Apoquindo 407";antonio.flores@mailficticio.cl;933254611;beneficiario;921276-0;Paciente;;;"sin firma";"Medibanc S.A.";
829;574822-4;"Luis Ana";"Rojas Díaz";"Av. Tobalaba 11544";luis.rojas@correoexample.com;922293078;beneficiario;589565-0;Paciente;;;"sin firma";"Vida uno S.A.";
830;178317-3;"Isabel Miguel";"Contreras Soto";"Av. Independencia 3175";isabel.contreras@prueba.org;928171599;beneficiario;628371-3;Paciente;;;"sin firma";"especial S.A.";
831;341576-7;"Diego Francisco";Torres;"Av. Libertador Bernardo O'Higgins 7520";diego.torres@dominiofake.net;987846649;beneficiario;499342-K;Paciente;;;"sin firma";"sinsalud S.A.";
832;478412-K;Miguel;Rodríguez;"Av. Matta 2395";miguel.rodriguez@correoexample.com;917469167;titular;478412-K;Paciente;;;"sin firma";"Vida uno S.A.";
833;581941-5;Laura;"Martínez Martínez";"Av. Libertador Bernardo O'Higgins 11842";laura.martinez@mailficticio.cl;989185327;titular;581941-5;Paciente;;;./firma/833;"sinsalud S.A.";
834;438374-5;José;Martínez;"Av. Providencia 10880";jose.martinez@prueba.org;966281905;beneficiario;576990-6;Paciente;;;"sin firma";"Colmena de avispas S.A.";
835;895217-5;María;"Espinoza Contreras";"Av. Manuel Montt 10664";maria.espinoza@correoexample.com;912589029;titular;895217-5;Paciente;;;"sin firma";"Medibanc S.A.";
836;426786-9;Francisco;"Flores Pérez";"Av. Libertador Bernardo O'Higgins 8461";francisco.flores@mailficticio.cl;974777132;beneficiario;334010-4;Paciente;;;"sin firma";"Salud Ltda.";
837;251845-7;"Francisco Lucía";Torres;"Av. Recoleta 11016";francisco.torres@correoexample.com;925214524;beneficiario;363106-0;Paciente;;;"sin firma";"Vida uno S.A.";
838;943330-9;Antonio;Pérez;"Av. Macul 2740";antonio.perez@prueba.org;943994591;titular;943330-9;Paciente;;;"sin firma";"Vida uno S.A.";
839;851395-3;"Juan Pedro";"Díaz Soto";"Av. Grecia 751";juan.diaz@correoexample.com;985923777;titular;851395-3;"Staff Médico";Tens;;"sin firma";"Fundación e imperio";
840;272082-5;Daniel;"Díaz Rojas";"Av. Libertador Bernardo O'Higgins 6984";daniel.diaz@correoexample.com;986833400;beneficiario;901942-1;Paciente;;;"sin firma";"Colmena de avispas S.A.";
841;582153-3;"Juan Miguel";"Martínez Hernández";"Av. Macul 8550";juan.martinez@correoexample.com;964856016;beneficiario;151413-K;Paciente;;;"sin firma";"Menos vida S.A.";
842;811114-6;"Carmen Isabel";"Soto Valenzuela";"Av. Libertador Bernardo O'Higgins 368";carmen.soto@dominiofake.net;924194529;titular;811114-6;Administrativo;;;"sin firma";"Colmena de avispas S.A.";
843;134035-2;Paula;Espinoza;"Av. Recoleta 10598";paula.espinoza@correoexample.com;904522574;titular;134035-2;"Staff Médico";Tens;;"sin firma";"Vida uno S.A.";
844;840408-9;Lucía;Fuentes;"Av. Los Leones 2121";lucia.fuentes@mailficticio.cl;924608324;beneficiario;424225-4;Paciente;;;"sin firma";"Colmena de avispas S.A.";
845;955163-8;Miguel;"Rodríguez Contreras";"Av. Irarrazabal 7563";miguel.rodriguez@correoexample.com;975534514;titular;955163-8;"Staff Médico";Tens;;"sin firma";"Salud Ltda.";
