 id_titular |   RUN    |     Nombres      |       Apellidos       |       institucion       
       2790 | 242147-K | Pedro María      | Sepúlveda             | Vida uno S.A.
        432 | 843783-1 | Laura Ana        | Sepúlveda Pérez       | Vida uno S.A.
        566 | 227165-6 | Juan José        | Silva                 | Vida uno S.A.
       1812 | 478513-4 | Daniel Paula     | Silva Flores          | Vida uno S.A.
       2646 | 239186-4 | Antonio          | Silva Rodríguez       | Vida uno S.A.
       2240 | 908056-2 | Javier           | Soto Contreras        | Vida uno S.A.
        234 | 739604-K | Pedro            | Soto Soto             | Vida uno S.A.
       2898 | 464457-3 | Javier Marta     | Torres López          | Vida uno S.A.
       1124 | 345911-K | Isabel           | Valenzuela Pérez      | Vida uno S.A.
(390 rows)

